#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.010414E+06      9.160628E+05      1.390777E+06      9.160628E+05
    4.009007E+06      9.158437E+05      1.391139E+06      9.158437E+05
    4.007597E+06      9.156241E+05      1.391502E+06      9.156241E+05
    4.006182E+06      9.154041E+05      1.391867E+06      9.154041E+05
    4.004762E+06      9.151836E+05      1.392234E+06      9.151836E+05
    4.003768E+06      9.150294E+05      1.392491E+06      9.150294E+05
    4.002772E+06      9.148749E+05      1.392749E+06      9.148749E+05
    4.001774E+06      9.147203E+05      1.393007E+06      9.147203E+05
    4.000773E+06      9.145654E+05      1.393266E+06      9.145654E+05
    3.999770E+06      9.144103E+05      1.393527E+06      9.144103E+05
    3.998765E+06      9.142550E+05      1.393787E+06      9.142550E+05
    3.997758E+06      9.140994E+05      1.394049E+06      9.140994E+05
    3.996194E+06      9.138582E+05      1.394456E+06      9.138582E+05
    3.994625E+06      9.136165E+05      1.394865E+06      9.136165E+05
    3.992174E+06      9.132394E+05      1.395504E+06      9.132394E+05
    3.989709E+06      9.128611E+05      1.396148E+06      9.128611E+05
    3.985401E+06      9.122015E+05      1.397278E+06      9.122015E+05
    3.981053E+06      9.115381E+05      1.398421E+06      9.115381E+05
    3.976665E+06      9.108709E+05      1.399580E+06      9.108709E+05
    3.972236E+06      9.101999E+05      1.400753E+06      9.101999E+05
    3.967766E+06      9.095249E+05      1.401941E+06      9.095249E+05
    3.963254E+06      9.088460E+05      1.403145E+06      9.088460E+05
    3.958700E+06      9.081632E+05      1.404364E+06      9.081632E+05
    3.954103E+06      9.074765E+05      1.405600E+06      9.074765E+05
    3.949463E+06      9.067858E+05      1.406851E+06      9.067858E+05
    3.944778E+06      9.060910E+05      1.408119E+06      9.060910E+05
    3.940049E+06      9.053923E+05      1.409403E+06      9.053923E+05
    3.935276E+06      9.046894E+05      1.410704E+06      9.046894E+05
    3.930456E+06      9.039825E+05      1.412023E+06      9.039825E+05
    3.925591E+06      9.032715E+05      1.413359E+06      9.032715E+05
